Complexity,Loss,Equation
1,1.7402846e-9,"1.2665661e-5"
3,1.4370862e-9,"0.3537956 ^ x1"
4,9.834772e-10,"sqrt(x7) / x1"
5,5.75278e-10,"x7 / (x1 * 0.00028955046)"
7,5.720939e-10,"x7 / ((x1 - x8) * 0.000279279)"
8,5.5687427e-10,"x7 / (0.00022645276 * (sqrt(x2) + x1))"
9,5.2047205e-10,"x7 / (((x2 ^ 0.2910165) + x1) * 0.00022645276)"
10,5.0850324e-10,"x7 * (sqrt(exp(sqrt(x3))) / (x1 * 0.0003533385))"
11,3.7490133e-10,"(x7 * 0.6873862) / (((x2 / x0) + x1) * 0.00016050946)"
12,3.7475725e-10,"x7 * (sqrt(0.4673451) / (0.00016050946 * ((x2 / x0) + x1)))"
13,3.6443323e-10,"((1.0561264 * x7) / ((x1 + (x2 / x0)) * 0.00016050946)) ^ 1.0561264"
14,3.3894929e-10,"x7 * (sqrt(sqrt(sqrt(x3))) / ((x1 + (x2 / x0)) * 0.00019404577))"
15,3.3098768e-10,"(x3 ^ 0.11438509) * (x7 / ((x1 + ((x2 / x0) + 0.119897746)) * 0.00017118975))"
16,3.2178304e-10,"sqrt(sqrt(sqrt(x3))) * (x7 / ((x1 + ((x2 / x0) + x3)) * 0.00017118975))"
17,2.3620958e-10,"x7 / ((((x2 / x0) + exp(exp(x7 / (x3 + x7)))) + x1) * 0.00016050946)"
19,2.3479305e-10,"x7 / (((exp(exp(x7 / (x3 + x7))) + x1) + ((x2 - x8) / x0)) * 0.00016050946)"
20,2.2906108e-10,"x7 / (((x2 / x0) + (exp(exp((x7 / (x3 + x7)) / exp(-0.11681417))) + x1)) * 0.00016050946)"
24,2.2628896e-10,"(0.9909341 / (0.00016050946 * (((x2 / x0) + exp(exp(x7 / (x3 + (x7 / exp(0.00016050946 ^ x0)))))) + x1))) * x7"
25,2.2446757e-10,"(x7 * 0.9909341) / ((((x2 / x0) + exp(exp(x7 / (x3 + (x7 / exp(sqrt(0.7667557) ^ x0)))))) + x1) * 0.00016050946)"
