;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 10000.000 cm^-3
;    T = 10.000000 K
;    Chi = 0.00010000000
;    xh = 0.0000000
;    xC = 1.0000000e-06
;    mu(1E-7 cm) = 9.3000000 debye (this corresponds to beta = 0.38450768 debye)
;
;  Diklike grains are asssumed to spin around their axis of greatest inertia
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
       1.0057201   1.4897790e-22
       1.0172586   1.5682770e-22
       1.0289295   1.6508728e-22
       1.0407343   1.7377803e-22
       1.0526745   1.8292147e-22
       1.0647517   1.9254153e-22
       1.0769674   2.0266184e-22
       1.0893234   2.1330845e-22
       1.1018210   2.2450799e-22
       1.1144621   2.3628864e-22
       1.1272482   2.4868030e-22
       1.1401810   2.6171337e-22
       1.1532621   2.7542153e-22
       1.1664934   2.8983783e-22
       1.1798764   3.0499933e-22
       1.1934130   3.2094298e-22
       1.2071049   3.3770887e-22
       1.2209538   3.5533855e-22
       1.2349617   3.7387509e-22
       1.2491303   3.9336564e-22
       1.2634614   4.1385631e-22
       1.2779569   4.3539989e-22
       1.2926188   4.5804724e-22
       1.3074488   4.8185550e-22
       1.3224490   5.0688207e-22
       1.3376213   5.3318814e-22
       1.3529677   5.6083907e-22
       1.3684901   5.8989974e-22
       1.3841907   6.2044429e-22
       1.4000713   6.5254321e-22
       1.4161342   6.8627753e-22
       1.4323813   7.2172619e-22
       1.4488148   7.5897632e-22
       1.4654369   7.9811754e-22
       1.4822497   8.3924176e-22
       1.4992554   8.8245220e-22
       1.5164561   9.2784659e-22
       1.5338543   9.7553957e-22
       1.5514520   1.0256393e-21
       1.5692516   1.0782692e-21
       1.5872554   1.1335519e-21
       1.6054658   1.1916181e-21
       1.6238851   1.2526090e-21
       1.6425158   1.3166621e-21
       1.6613602   1.3839371e-21
       1.6804207   1.4545828e-21
       1.6997000   1.5287732e-21
       1.7192005   1.6066750e-21
       1.7389246   1.6884747e-21
       1.7588751   1.7743627e-21
       1.7790545   1.8645340e-21
       1.7994654   1.9592076e-21
       1.8201104   2.0585901e-21
       1.8409923   2.1629240e-21
       1.8621138   2.2724364e-21
       1.8834776   2.3873898e-21
       1.9050865   2.5080410e-21
       1.9269433   2.6346670e-21
       1.9490509   2.7675630e-21
       1.9714122   2.9070178e-21
       1.9940299   3.0533646e-21
       2.0169072   3.2069143e-21
       2.0400469   3.3680320e-21
       2.0634521   3.5370631e-21
       2.0871259   3.7143998e-21
       2.1110712   3.9004325e-21
       2.1352913   4.0955700e-21
       2.1597892   4.3002593e-21
       2.1845682   4.5149302e-21
       2.2096315   4.7400826e-21
       2.2349823   4.9761816e-21
       2.2606240   5.2237722e-21
       2.2865599   5.4833698e-21
       2.3127933   5.7555513e-21
       2.3393277   6.0409032e-21
       2.3661665   6.3400246e-21
       2.3933133   6.6535831e-21
       2.4207715   6.9822094e-21
       2.4485447   7.3266470e-21
       2.4766366   7.6875729e-21
       2.5050507   8.0657917e-21
       2.5337909   8.4620569e-21
       2.5628607   8.8772066e-21
       2.5922641   9.3121092e-21
       2.6220049   9.7676226e-21
       2.6520868   1.0244736e-20
       2.6825139   1.0744342e-20
       2.7132900   1.1267530e-20
       2.7444193   1.1815265e-20
       2.7759057   1.2388706e-20
       2.8077533   1.2988950e-20
       2.8399663   1.3617164e-20
       2.8725489   1.4274622e-20
       2.9055053   1.4962501e-20
       2.9388398   1.5682242e-20
       2.9725568   1.6435068e-20
       3.0066606   1.7222536e-20
       3.0411556   1.8046004e-20
       3.0760464   1.8907044e-20
       3.1113375   1.9807244e-20
       3.1470335   2.0748142e-20
       3.1831391   2.1731575e-20
       3.2196589   2.2759090e-20
       3.2565976   2.3832690e-20
       3.2939602   2.4954041e-20
       3.3317514   2.6125200e-20
       3.3699761   2.7348079e-20
       3.4086395   2.8624660e-20
       3.4477464   2.9957182e-20
       3.4873020   3.1347576e-20
       3.5273114   3.2798327e-20
       3.5677798   3.4311423e-20
       3.6087125   3.5889444e-20
       3.6501148   3.7534616e-20
       3.6919921   3.9249411e-20
       3.7343499   4.1036435e-20
       3.7771937   4.2898044e-20
       3.8205289   4.4837139e-20
       3.8643614   4.6856064e-20
       3.9086968   4.8957825e-20
       3.9535408   5.1144953e-20
       3.9988993   5.3420369e-20
       4.0447782   5.5786920e-20
       4.0911834   5.8247380e-20
       4.1381211   6.0804872e-20
       4.1855972   6.3462078e-20
       4.2336181   6.6222273e-20
       4.2821899   6.9088157e-20
       4.3313189   7.2062975e-20
       4.3810116   7.5149571e-20
       4.4312744   7.8351026e-20
       4.4821139   8.1670394e-20
       4.5335367   8.5110558e-20
       4.5855494   8.8674700e-20
       4.6381588   9.2365526e-20
       4.6913719   9.6186219e-20
       4.7451954   1.0013935e-19
       4.7996365   1.0422806e-19
       4.8547021   1.0845485e-19
       4.9103995   1.1282260e-19
       4.9667360   1.1733379e-19
       5.0237187   1.2199087e-19
       5.0813552   1.2679650e-19
       5.1396530   1.3175245e-19
       5.1986196   1.3686162e-19
       5.2582628   1.4212527e-19
       5.3185902   1.4754603e-19
       5.3796097   1.5312507e-19
       5.4413293   1.5886414e-19
       5.5037571   1.6476488e-19
       5.5669010   1.7082763e-19
       5.6307694   1.7705469e-19
       5.6953705   1.8344538e-19
       5.7607128   1.9000178e-19
       5.8268048   1.9672314e-19
       5.8936550   2.0360995e-19
       5.9612722   2.1066260e-19
       6.0296652   2.1787940e-19
       6.0988428   2.2526187e-19
       6.1688141   2.3280677e-19
       6.2395881   2.4051535e-19
       6.3111742   2.4838474e-19
       6.3835815   2.5641376e-19
       6.4568196   2.6460141e-19
       6.5308979   2.7294370e-19
       6.6058261   2.8144156e-19
       6.6816139   2.9008904e-19
       6.7582713   2.9888678e-19
       6.8358081   3.0782995e-19
       6.9142345   3.1691581e-19
       6.9935607   3.2614243e-19
       7.0737970   3.3550376e-19
       7.1549538   3.4500058e-19
       7.2370417   3.5462491e-19
       7.3200714   3.6437731e-19
       7.4040537   3.7425161e-19
       7.4889995   3.8424458e-19
       7.5749199   3.9435444e-19
       7.6618261   4.0457397e-19
       7.7497293   4.1490474e-19
       7.8386410   4.2533817e-19
       7.9285727   4.3587531e-19
       8.0195363   4.4651032e-19
       8.1115435   4.5724058e-19
       8.2046062   4.6806584e-19
       8.2987367   4.7897910e-19
       8.3939471   4.8998379e-19
       8.4902498   5.0107293e-19
       8.5876575   5.1224888e-19
       8.6861826   5.2350770e-19
       8.7858381   5.3484883e-19
       8.8866370   5.4627380e-19
       8.9885923   5.5777821e-19
       9.0917173   5.6936774e-19
       9.1960255   5.8103773e-19
       9.3015304   5.9279311e-19
       9.4082458   6.0463273e-19
       9.5161854   6.1655893e-19
       9.6253635   6.2857496e-19
       9.7357941   6.4068029e-19
       9.8474917   6.5288160e-19
       9.9604708   6.6517706e-19
       10.074746   6.7757367e-19
       10.190332   6.9007234e-19
       10.307245   7.0267749e-19
       10.425499   7.1539293e-19
       10.545109   7.2822109e-19
       10.666092   7.4116794e-19
       10.788463   7.5423307e-19
       10.912237   7.6742374e-19
       11.037432   7.8073992e-19
       11.164063   7.9418545e-19
       11.292147   8.0776334e-19
       11.421701   8.2147358e-19
       11.552741   8.3532000e-19
       11.685284   8.4929878e-19
       11.819348   8.6341482e-19
       11.954949   8.7766299e-19
       12.092107   8.9204196e-19
       12.230838   9.0655183e-19
       12.371161   9.2118188e-19
       12.513094   9.3593223e-19
       12.656655   9.5078863e-19
       12.801864   9.6575004e-19
       12.948738   9.8080074e-19
       13.097297   9.9592895e-19
       13.247561   1.0111278e-18
       13.399549   1.0263700e-18
       13.553280   1.0416496e-18
       13.708775   1.0569350e-18
       13.866054   1.0722168e-18
       14.025138   1.0874632e-18
       14.186047   1.1026492e-18
       14.348801   1.1177563e-18
       14.513424   1.1327380e-18
       14.679934   1.1475823e-18
       14.848355   1.1622350e-18
       15.018709   1.1766799e-18
       15.191017   1.1908674e-18
       15.365301   1.2047600e-18
       15.541586   1.2183262e-18
       15.719892   1.2315038e-18
       15.900245   1.2442769e-18
       16.082666   1.2565696e-18
       16.267181   1.2683663e-18
       16.453812   1.2795986e-18
       16.642585   1.2902273e-18
       16.833523   1.3002089e-18
       17.026652   1.3094774e-18
       17.221997   1.3180154e-18
       17.419583   1.3257359e-18
       17.619436   1.3326331e-18
       17.821581   1.3386246e-18
       18.026046   1.3436862e-18
       18.232857   1.3477642e-18
       18.442040   1.3508071e-18
       18.653623   1.3527983e-18
       18.867634   1.3536604e-18
       19.084100   1.3533990e-18
       19.303050   1.3519351e-18
       19.524511   1.3492724e-18
       19.748514   1.3453541e-18
       19.975086   1.3401634e-18
       20.204258   1.3336853e-18
       20.436059   1.3258749e-18
       20.670519   1.3167531e-18
       20.907670   1.3062673e-18
       21.147541   1.2944449e-18
       21.390164   1.2812518e-18
       21.635571   1.2667170e-18
       21.883793   1.2508314e-18
       22.134863   1.2336052e-18
       22.388814   1.2150737e-18
       22.645678   1.1952338e-18
       22.905489   1.1741358e-18
       23.168281   1.1517934e-18
       23.434088   1.1282653e-18
       23.702944   1.1035774e-18
       23.974885   1.0778014e-18
       24.249946   1.0509831e-18
       24.528163   1.0231854e-18
       24.809572   9.9447440e-19
       25.094209   9.6492303e-19
       25.382112   9.3461137e-19
       25.673318   9.0361580e-19
       25.967865   8.7203369e-19
       26.265791   8.3993938e-19
       26.567135   8.0745450e-19
       26.871936   7.7464294e-19
       27.180235   7.4162950e-19
       27.492071   7.0849505e-19
       27.807484   6.7535442e-19
       28.126516   6.4230414e-19
       28.449208   6.0944338e-19
       28.775602   5.7688610e-19
       29.105741   5.4470594e-19
       29.439668   5.1303586e-19
       29.777425   4.8192903e-19
       30.119058   4.5150483e-19
       30.464611   4.2182529e-19
       30.814127   3.9298147e-19
       31.167654   3.6504198e-19
       31.525237   3.3806633e-19
       31.886922   3.1212884e-19
       32.252757   2.8725465e-19
       32.622789   2.6351759e-19
       32.997066   2.4092173e-19
       33.375638   2.1951458e-19
       33.758552   1.9929944e-19
       34.145860   1.8029192e-19
       34.537611   1.6249269e-19
       34.933857   1.4588725e-19
       35.334649   1.3047307e-19
       35.740039   1.1621151e-19
       36.150081   1.0309061e-19
       36.564826   9.1059789e-20
       36.984330   8.0088484e-20
       37.408647   7.0125444e-20
       37.837832   6.1123114e-20
       38.271940   5.3030132e-20
       38.711030   4.5787599e-20
       39.155157   3.9344644e-20
       39.604379   3.3637155e-20
       40.058755   2.8613722e-20
       40.518345   2.4212085e-20
       40.983207   2.0379380e-20
       41.453402   1.7059744e-20
       41.928992   1.4201356e-20
       42.410038   1.1755205e-20
       42.896604   9.6733604e-21
       43.388751   7.9138467e-21
       43.886545   6.4346289e-21
       44.390050   5.2001805e-21
       44.899332   4.1758072e-21
       45.414456   3.3318558e-21
       45.935491   2.6410277e-21
       46.462503   2.0794238e-21
       46.995562   1.6261725e-21
       47.534736   1.2627786e-21
       48.080097   9.7376000e-22
       48.631714   7.4537946e-22
       49.189660   5.6642383e-22
       49.754007   4.2716382e-22
       50.324828   3.1968805e-22
       50.902199   2.3738004e-22
       51.486194   1.7485256e-22
       52.076889   1.2775495e-22
