;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 300.00000 cm^-3
;    T = 20.000000 K
;    Chi = 0.010000000
;    xh = 0.0000000
;    xC = 0.00010000000
;    mu(1E-7 cm) = 9.3000000 debye (this corresponds to beta = 0.38450768 debye)
;
;  Diklike grains are asssumed to spin around their axis of greatest inertia
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
       1.0057201   4.6829083e-23
       1.0172586   4.8955132e-23
       1.0289295   5.1189858e-23
       1.0407343   5.3538661e-23
       1.0526745   5.6007824e-23
       1.0647517   5.8603604e-23
       1.0769674   6.1332496e-23
       1.0893234   6.4201793e-23
       1.1018210   6.7218676e-23
       1.1144621   7.0390794e-23
       1.1272482   7.3726581e-23
       1.1401810   7.7234312e-23
       1.1532621   8.0923050e-23
       1.1664934   8.4802546e-23
       1.1798764   8.8882426e-23
       1.1934130   9.3173354e-23
       1.2071049   9.7686497e-23
       1.2209538   1.0243307e-22
       1.2349617   1.0742543e-22
       1.2491303   1.1267667e-22
       1.2634614   1.1819989e-22
       1.2779569   1.2400938e-22
       1.2926188   1.3012037e-22
       1.3074488   1.3654810e-22
       1.3224490   1.4330899e-22
       1.3376213   1.5042081e-22
       1.3529677   1.5790145e-22
       1.3684901   1.6576988e-22
       1.3841907   1.7404682e-22
       1.4000713   1.8275301e-22
       1.4161342   1.9191034e-22
       1.4323813   2.0154282e-22
       1.4488148   2.1167458e-22
       1.4654369   2.2233128e-22
       1.4822497   2.3354063e-22
       1.4992554   2.4533073e-22
       1.5164561   2.5773134e-22
       1.5338543   2.7077428e-22
       1.5514520   2.8449222e-22
       1.5692516   2.9891998e-22
       1.5872554   3.1409433e-22
       1.6054658   3.3005334e-22
       1.6238851   3.4683753e-22
       1.6425158   3.6448890e-22
       1.6613602   3.8305178e-22
       1.6804207   4.0257323e-22
       1.6997000   4.2310180e-22
       1.7192005   4.4468938e-22
       1.7389246   4.6739064e-22
       1.7588751   4.9126126e-22
       1.7790545   5.1636147e-22
       1.7994654   5.4275439e-22
       1.8201104   5.7050429e-22
       1.8409923   5.9968197e-22
       1.8621138   6.3036030e-22
       1.8834776   6.6261372e-22
       1.9050865   6.9652423e-22
       1.9269433   7.3217552e-22
       1.9490509   7.6965379e-22
       1.9714122   8.0905414e-22
       1.9940299   8.5047433e-22
       2.0169072   8.9401440e-22
       2.0400469   9.3978366e-22
       2.0634521   9.8789581e-22
       2.0871259   1.0384653e-21
       2.1110712   1.0916185e-21
       2.1352913   1.1474885e-21
       2.1597892   1.2062079e-21
       2.1845682   1.2679231e-21
       2.2096315   1.3327881e-21
       2.2349823   1.4009552e-21
       2.2606240   1.4725932e-21
       2.2865599   1.5478804e-21
       2.3127933   1.6269945e-21
       2.3393277   1.7101315e-21
       2.3661665   1.7974976e-21
       2.3933133   1.8892982e-21
       2.4207715   1.9857581e-21
       2.4485447   2.0871147e-21
       2.4766366   2.1936077e-21
       2.5050507   2.3054976e-21
       2.5337909   2.4230605e-21
       2.5628607   2.5465747e-21
       2.5922641   2.6763376e-21
       2.6220049   2.8126678e-21
       2.6520868   2.9558885e-21
       2.6825139   3.1063416e-21
       2.7132900   3.2643999e-21
       2.7444193   3.4304410e-21
       2.7759057   3.6048552e-21
       2.8077533   3.7880708e-21
       2.8399663   3.9805282e-21
       2.8725489   4.1826728e-21
       2.9055053   4.3950013e-21
       2.9388398   4.6180343e-21
       2.9725568   4.8522842e-21
       3.0066606   5.0983186e-21
       3.0411556   5.3567390e-21
       3.0760464   5.6281397e-21
       3.1113375   5.9131687e-21
       3.1470335   6.2125308e-21
       3.1831391   6.5269250e-21
       3.2196589   6.8570896e-21
       3.2565976   7.2038368e-21
       3.2939602   7.5679805e-21
       3.3317514   7.9503618e-21
       3.3699761   8.3519120e-21
       3.4086395   8.7736062e-21
       3.4477464   9.2164097e-21
       3.4873020   9.6813842e-21
       3.5273114   1.0169667e-20
       3.5677798   1.0682367e-20
       3.6087125   1.1220693e-20
       3.6501148   1.1785976e-20
       3.6919921   1.2379526e-20
       3.7343499   1.3002721e-20
       3.7771937   1.3657099e-20
       3.8205289   1.4344178e-20
       3.8643614   1.5065530e-20
       3.9086968   1.5822918e-20
       3.9535408   1.6618137e-20
       3.9988993   1.7453019e-20
       4.0447782   1.8329574e-20
       4.0911834   1.9249896e-20
       4.1381211   2.0216077e-20
       4.1855972   2.1230414e-20
       4.2336181   2.2295337e-20
       4.2821899   2.3413320e-20
       4.3313189   2.4586991e-20
       4.3810116   2.5819171e-20
       4.4312744   2.7112717e-20
       4.4821139   2.8470600e-20
       4.5335367   2.9896092e-20
       4.5855494   3.1392504e-20
       4.6381588   3.2963320e-20
       4.6913719   3.4612303e-20
       4.7451954   3.6343280e-20
       4.7996365   3.8160267e-20
       4.8547021   4.0067527e-20
       4.9103995   4.2069473e-20
       4.9667360   4.4170858e-20
       5.0237187   4.6376517e-20
       5.0813552   4.8691653e-20
       5.1396530   5.1121675e-20
       5.1986196   5.3672098e-20
       5.2582628   5.6348957e-20
       5.3185902   5.9158373e-20
       5.3796097   6.2106905e-20
       5.4413293   6.5201448e-20
       5.5037571   6.8449033e-20
       5.5669010   7.1857342e-20
       5.6307694   7.5433968e-20
       5.6953705   7.9187141e-20
       5.7607128   8.3125688e-20
       5.8268048   8.7258439e-20
       5.8936550   9.1594954e-20
       5.9612722   9.6145209e-20
       6.0296652   1.0091952e-19
       6.0988428   1.0592854e-19
       6.1688141   1.1118365e-19
       6.2395881   1.1669702e-19
       6.3111742   1.2248078e-19
       6.3835815   1.2854795e-19
       6.4568196   1.3491260e-19
       6.5308979   1.4158849e-19
       6.6058261   1.4859034e-19
       6.6816139   1.5593405e-19
       6.7582713   1.6363593e-19
       6.8358081   1.7171262e-19
       6.9142345   1.8018205e-19
       6.9935607   1.8906317e-19
       7.0737970   1.9837446e-19
       7.1549538   2.0813617e-19
       7.2370417   2.1836989e-19
       7.3200714   2.2909729e-19
       7.4040537   2.4034112e-19
       7.4889995   2.5212569e-19
       7.5749199   2.6447586e-19
       7.6618261   2.7741696e-19
       7.7497293   2.9097598e-19
       7.8386410   3.0518148e-19
       7.9285727   3.2006228e-19
       8.0195363   3.3564883e-19
       8.1115435   3.5197313e-19
       8.2046062   3.6906742e-19
       8.2987367   3.8696577e-19
       8.3939471   4.0570357e-19
       8.4902498   4.2531772e-19
       8.5876575   4.4584616e-19
       8.6861826   4.6732873e-19
       8.7858381   4.8980605e-19
       8.8866370   5.1331889e-19
       8.9885923   5.3791237e-19
       9.0917173   5.6363068e-19
       9.1960255   5.9052046e-19
       9.3015304   6.1863035e-19
       9.4082458   6.4801051e-19
       9.5161854   6.7871194e-19
       9.6253635   7.1078500e-19
       9.7357941   7.4428668e-19
       9.8474917   7.7927102e-19
       9.9604708   8.1579381e-19
       10.074746   8.5391472e-19
       10.190332   8.9369584e-19
       10.307245   9.3519617e-19
       10.425499   9.7847602e-19
       10.545109   1.0236053e-18
       10.666092   1.0706460e-18
       10.788463   1.1196630e-18
       10.912237   1.1707272e-18
       11.037432   1.2239069e-18
       11.164063   1.2792677e-18
       11.292147   1.3368792e-18
       11.421701   1.3968172e-18
       11.552741   1.4591495e-18
       11.685284   1.5239467e-18
       11.819348   1.5912852e-18
       11.954949   1.6612374e-18
       12.092107   1.7338710e-18
       12.230838   1.8092598e-18
       12.371161   1.8874751e-18
       12.513094   1.9685833e-18
       12.656655   2.0526568e-18
       12.801864   2.1397643e-18
       12.948738   2.2299693e-18
       13.097297   2.3233404e-18
       13.247561   2.4199387e-18
       13.399549   2.5198202e-18
       13.553280   2.6230513e-18
       13.708775   2.7296851e-18
       13.866054   2.8397611e-18
       14.025138   2.9533340e-18
       14.186047   3.0704441e-18
       14.348801   3.1911254e-18
       14.513424   3.3154123e-18
       14.679934   3.4433412e-18
       14.848355   3.5749272e-18
       15.018709   3.7101861e-18
       15.191017   3.8491336e-18
       15.365301   3.9917634e-18
       15.541586   4.1380753e-18
       15.719892   4.2880510e-18
       15.900245   4.4416719e-18
       16.082666   4.5989072e-18
       16.267181   4.7597277e-18
       16.453812   4.9240786e-18
       16.642585   5.0918994e-18
       16.833523   5.2631450e-18
       17.026652   5.4377311e-18
       17.221997   5.6155558e-18
       17.419583   5.7965492e-18
       17.619436   5.9805972e-18
       17.821581   6.1675414e-18
       18.026046   6.3573072e-18
       18.232857   6.5497391e-18
       18.442040   6.7446610e-18
       18.653623   6.9419444e-18
       18.867634   7.1414362e-18
       19.084100   7.3428961e-18
       19.303050   7.5461681e-18
       19.524511   7.7510696e-18
       19.748514   7.9573144e-18
       19.975086   8.1647213e-18
       20.204258   8.3730708e-18
       20.436059   8.5820934e-18
       20.670519   8.7915013e-18
       20.907670   9.0011167e-18
       21.147541   9.2106157e-18
       21.390164   9.4196796e-18
       21.635571   9.6280909e-18
       21.883793   9.8355200e-18
       22.134863   1.0041619e-17
       22.388814   1.0246089e-17
       22.645678   1.0448656e-17
       22.905489   1.0648901e-17
       23.168281   1.0846541e-17
       23.434088   1.1041247e-17
       23.702944   1.1232598e-17
       23.974885   1.1420312e-17
       24.249946   1.1604014e-17
       24.528163   1.1783237e-17
       24.809572   1.1957716e-17
       25.094209   1.2127072e-17
       25.382112   1.2290768e-17
       25.673318   1.2448564e-17
       25.967865   1.2600102e-17
       26.265791   1.2744814e-17
       26.567135   1.2882387e-17
       26.871936   1.3012546e-17
       27.180235   1.3134724e-17
       27.492071   1.3248521e-17
       27.807484   1.3353670e-17
       28.126516   1.3449692e-17
       28.449208   1.3536124e-17
       28.775602   1.3612716e-17
       29.105741   1.3679082e-17
       29.439668   1.3734746e-17
       29.777425   1.3779462e-17
       30.119058   1.3812935e-17
       30.464611   1.3834732e-17
       30.814127   1.3844643e-17
       31.167654   1.3842508e-17
       31.525237   1.3827885e-17
       31.886922   1.3800709e-17
       32.252757   1.3760975e-17
       32.622789   1.3708289e-17
       32.997066   1.3642727e-17
       33.375638   1.3564473e-17
       33.758552   1.3473251e-17
       34.145860   1.3369261e-17
       34.537611   1.3252871e-17
       34.933857   1.3124006e-17
       35.334649   1.2982985e-17
       35.740039   1.2830282e-17
       36.150081   1.2666135e-17
       36.564826   1.2490913e-17
       36.984330   1.2305220e-17
       37.408647   1.2109518e-17
       37.837832   1.1904239e-17
       38.271940   1.1690078e-17
       38.711030   1.1467654e-17
       39.155157   1.1237433e-17
       39.604379   1.1000146e-17
       40.058755   1.0756534e-17
       40.518345   1.0507023e-17
       40.983207   1.0252347e-17
       41.453402   9.9933217e-18
       41.928992   9.7303105e-18
       42.410038   9.4639927e-18
       42.896604   9.1952139e-18
       43.388751   8.9242761e-18
       43.886545   8.6518163e-18
       44.390050   8.3785706e-18
       44.899332   8.1048858e-18
       45.414456   7.8313163e-18
       45.935491   7.5584981e-18
       46.462503   7.2868026e-18
       46.995562   7.0167105e-18
       47.534736   6.7487649e-18
       48.080097   6.4833608e-18
       48.631714   6.2209024e-18
       49.189660   5.9618496e-18
       49.754007   5.7066147e-18
       50.324828   5.4555150e-18
       50.902199   5.2089413e-18
       51.486194   4.9673156e-18
       52.076889   4.7308505e-18
       52.674361   4.4998855e-18
